Name,Latitude,Longitude,OSM_ID
Materdei,-4.4690518,15.2243459,435579834
Institute Georges Simenon,-4.3053231,15.3147319,440111691
Institut de Kinkole,-4.3216269,15.5163084,583344995
École Presbyterienne,-4.3772481,15.3351266,712894085
École Massemba,-4.3812127,15.3359821,713203651
Ecole Maternelle Massamba,-4.3849285,15.3369215,713306937
École St-Louis,-4.3457112,15.293557,715858834
École officielle,-4.3475774,15.2929726,715858837
Institut Diangenda,-4.3531403,15.2903763,715862489
École officielle,-4.3605004,15.3014055,715863893
Ecole Technique ITIP Bumbu,-4.3621937,15.2881578,715863894
École catholique Sainte Christine,-4.3890772,15.3126137,759214401
École Catholique,-4.3224534,15.5169931,789373903
Institut Wabakulu,-4.347404,15.2321757,790833373
Centre Scolare Pingu II,-4.4298913,15.3716211,803232064
École,-4.4316456,15.3672222,803246740
École,-4.4319023,15.3678874,803246748
Complexe scolaire Mère Theresa Tito,-4.4330361,15.3664712,803246752
Complexe scolaire Bualu,-4.4351755,15.3663457,803265122
École privé,-4.3669125,15.3198048,813748771
Institut Kisantu,-4.4202186,15.3915973,822140614
École Toco 2,-4.4197512,15.3904829,822140618
École,-4.3685492,15.318766,829315038
École ITP Passio,-4.4046477,15.4070665,944857352
Ecole Primaire Biyela,-4.4189146,15.3926001,944861514
École primaire Lukunga,-4.3642222,15.2158611,1234974031
Ecole primaire Luozi,-4.3666312,15.2183701,1234974040
École primaire Bosalisani,-4.3685,15.2266944,1234974045
Ecole primaire Kuvuna,-4.3581111,15.2165556,1234974049
École primaire Mankala,-4.4626667,15.3466111,1234974051
École primaire Raisa,-4.3763611,15.2244444,1234974053
Ecole Primaire Kilambu,-4.4403651,15.3502998,1234974060
École primaire St Cyrille,-4.4471944,15.1853889,1234974067
Ecole primaire Bolingo,-4.38275,15.2350278,1234974092
Ecole primaire Lutendele Kimbangu,-4.3759167,15.1935833,1234974101
École primaire Menkao,-4.1809331,15.6905367,1234982930
Unnamed,-4.4485326,16.1984157,1234982982
École primaire Lufimi,-4.5412695,16.3151536,1234983017
Institut Dominique Ileo,-4.3425168,15.2636659,1640267112
Ecole primaire de Kintambo 1,-4.3404896,15.2626111,1640305538
Collège Alingwa,-4.3492863,15.2678971,2162744660
Groupe Scolaire Kindobo,-4.2835313,15.5724679,2246630298
Centre Scolaire Motoba,-4.3223393,15.5139642,2246674891
Complexe scolaire St Vincent,-4.3566188,15.3091004,2273728699
Collège Saint Michel,-4.3398453,15.2772631,2299738119
Ecole Publique Saint Jean Baptiste,-4.3406895,15.2757864,2299738122
Institut Salongo,-4.3457856,15.2785116,2299738130
EP1 Ngoma,-4.3458101,15.2776009,2299738135
Unnamed,-4.3416957,15.2772237,2299738186
Collège saint charles luanga,-4.3151921,15.3263021,2953314337
Collège Les Saphirs,-4.3084113,15.2916664,3477493250
Joyeux Lutins,-4.3509125,15.2841388,4235751684
Maï-ndombe,-4.3826829,15.3500204,4328067009
Lycée bilingue Claude Mafema,-4.4093129,15.2558878,4394576756
College Kingudi,-4.4435781,15.4434097,4442217542
Collège Saint Pie X,-4.3581576,15.3005393,4469949070
Collège Petit Prince,-4.3562828,15.2960158,4483772304
Ecole Primaire Kapita,-4.4346121,15.4226034,4592863282
College Bisengo Muembe,-4.4460514,15.4392688,4592884135
Ecole 22 Septembre,-4.4172434,15.4181394,4592891488
Ecole Meteo,-4.412074,15.4089202,4592894870
Ecole Des Frere Ngwanza,-4.4128026,15.4282684,4594260941
Ecole Primaire Malavu,-4.4311806,15.3888889,4594262143
Ecole Mbela,-4.4081753,15.3981289,4594274627
Djiboa Dia Ditumba,-4.404395,15.407952,4598148340
Ecole de Moderne Espoir,-4.4212498,15.4254716,4598148993
Ecole Bahumbu,-4.3763274,15.3719,4650134578
Ecole Gerard,-4.3973531,15.3752134,4769435737
Centre Gali,-4.39785,15.373425,4784531222
Ecole Lulengo,-4.4160425,15.3690185,4784535854
College de l'amitie,-4.4524986,15.3959976,4784542035
Unnamed,-4.4533536,15.4086235,4784544300
Ecole Pere Coudrin,-4.4484938,15.4151922,4784548405
Ecole Boyambi,-4.4314818,15.4111809,4784579820
College Bel Elan,-4.42811,15.418064,4784580578
College Sainte-Croix,-4.4256843,15.4252996,4784588621
Ecole de l'Elbco,-4.4204145,15.4277486,4784612722
College St-Albert,-4.4097375,15.4169778,4784614149
College Pere Enoch,-4.420102,15.415779,4784616133
Ecole St-Medard,-4.41669,15.414207,4784616709
Ecole Ellen White,-4.424614,15.417509,4784621260
Ecole Sainte-Vincent de Paul,-4.4073206,15.4242345,4784625143
College St-Oscar,-4.4274453,15.4333524,4784627013
Ecole Memo,-4.394924,15.371923,4792082188
Complexe Omala Yaca,-4.4054624,15.3704596,4792088871
Ecole St-Benoit,-4.410911,15.3685349,4792089844
Ecole Victoria,-4.4427776,15.388611,4792091422
EP7 Kikimi,-4.4421389,15.4324491,4792100250
Ecole Maman Dorcas,-4.431381,15.4086124,4792102534
La Trompette,-4.420551,15.41603,4792105151
