Country,Admin1,Admin2,ISO3,Admin2 Pcode,Admin1 Pcode,Month,Year,Events,Fatalities
Democratic Republic of Congo,Haut-Katanga,Kasenga,COD,CD7107,CD71,January,2015,0,0
Democratic Republic of Congo,Haut-Lomami,Kaniama,COD,CD7303,CD73,January,2015,0,0
Democratic Republic of Congo,Haut-Uele,Niangara,COD,CD5303,CD53,January,2015,0,0
Democratic Republic of Congo,Ituri,Bunia,COD,CD5401,CD54,January,2015,1,4
Democratic Republic of Congo,Kasai,Mweka,COD,CD9207,CD92,January,2015,0,0
Democratic Republic of Congo,Kasai-Central,Dibaya,COD,CD9102,CD91,January,2015,0,0
Democratic Republic of Congo,Kasai-Central,Luiza,COD,CD9104,CD91,January,2015,0,0
Democratic Republic of Congo,Kasai-Oriental,Kabeya-Kamwanga,COD,CD8207,CD82,January,2015,0,0
Democratic Republic of Congo,Kinshasa,Kinshasa,COD,CD1000,CD10,January,2015,0,0
Democratic Republic of Congo,Kongo-Central,Songololo,COD,CD2011,CD20,January,2015,0,0
Democratic Republic of Congo,Kwango,Kahemba,COD,CD3105,CD31,January,2015,0,0
Democratic Republic of Congo,Kwilu,Bulungu,COD,CD3204,CD32,January,2015,0,0
Democratic Republic of Congo,Kwilu,Mangai,COD,CD3208,CD32,January,2015,0,0
Democratic Republic of Congo,Kwilu,Masi-Manimba,COD,CD3212,CD32,January,2015,0,0
Democratic Republic of Congo,Lomami,Kamiji,COD,CD8105,CD81,January,2015,0,0
Democratic Republic of Congo,Lomami,Lubao,COD,CD8108,CD81,January,2015,0,0
Democratic Republic of Congo,Lomami,Ngandajika,COD,CD8106,CD81,January,2015,0,0
Democratic Republic of Congo,Lualaba,Kasaji,COD,CD7204,CD72,January,2015,0,0
Democratic Republic of Congo,Mongala,Bongandanga,COD,CD4405,CD44,January,2015,0,0
Democratic Republic of Congo,Nord-Kivu,Nyiragongo,COD,CD6102,CD61,January,2015,0,0
Democratic Republic of Congo,Nord-Ubangi,Mobayi-Mbongo,COD,CD4302,CD43,January,2015,0,0
Democratic Republic of Congo,Nord-Ubangi,Yakoma,COD,CD4304,CD43,January,2015,0,0
Democratic Republic of Congo,Sud-Ubangi,Budjala,COD,CD4203,CD42,January,2015,0,0
Democratic Republic of Congo,Tanganyika,Kaoze,COD,CD7403,CD74,January,2015,0,0
Democratic Republic of Congo,Tshopo,Basoko,COD,CD5109,CD51,January,2015,0,0
Democratic Republic of Congo,Tshopo,Yangambi,COD,CD5106,CD51,January,2015,0,0
Democratic Republic of Congo,Tshuapa,Boende,COD,CD4502,CD45,January,2015,0,0
Democratic Republic of Congo,Tshuapa,Ikela,COD,CD4505,CD45,January,2015,0,0
Democratic Republic of Congo,Equateur,Makanza,COD,CD4105,CD41,January,2015,0,0
